key	superseded_abilities_set	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	is_hidden_in_ui_for_enemy
#unit_abilities_tables;16;db/unit_abilities_tables/data__											
wh2_dlc09_army_abilities_barrage_of_the_legion		false	wh2_dlc09_army_abilities_barrage_of_the_legion		wh_type_wind		wh_main_anc_group_uncommon	true	false	army	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti		false	wh2_dlc09_army_abilities_realm_of_souls_ushabti		wh_type_augment		wh_main_anc_group_unique	true	false	army	false
wh2_dlc09_army_abilities_rictus_clanstone		false	wh2_dlc09_army_abilities_rictus_clanstone		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	army	false
wh2_dlc09_army_abilities_sand_veil		false	wh2_dlc09_army_abilities_sand_veil		wh_type_hiding		wh_main_anc_group_uncommon	false	false	army	false
wh2_dlc09_army_abilities_tomb_swarm		false	wh2_dlc09_army_ability_tomb_swarm		wh_type_area_of_direct_damage		wh_main_anc_group_rare	true	false	army	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger		false	wh2_dlc09_army_abilities_realm_of_souls_ushabti		wh_type_augment		wh_main_anc_group_unique	true	true	army	false
wh2_dlc09_character_abilities_curse_of_djaf		false	wh2_dlc09_character_abilities_curse_of_djaf		wh_type_area_of_hexes		wh_main_anc_group_common	true	false	character	false
wh2_dlc09_character_abilities_curse_of_khsar		false	wh2_dlc09_character_abilities_curse_of_khsar		wh_type_area_of_hexes		wh_main_anc_group_common	true	false	character	false
wh2_dlc09_character_abilities_restore		true	wh2_dlc09_character_abilities_restore		wh_type_regeneration		wh_main_anc_group_common	true	false	character	false
wh2_dlc09_character_abilities_stay_here_ill_get_help		false	wh2_dlc09_character_abilities_stay_here_ill_get_help		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	character	false
wh2_dlc09_character_abilities_strike_of_nagash		true	wh2_dlc09_character_abilities_strike_of_nagash		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
wh2_dlc09_character_abilities_strike_of_nehekhara		true	wh2_dlc09_character_abilities_strike_of_nehekhara		wh_type_augment		wh_main_anc_group_rare	true	false	character	false
