key	text	tooltip
#Loc PackedFile;1;text/db/unit_abilities__.loc		
unit_abilities_tooltip_text_wh_pro01_lord_passive_grombrindal_has_no_fear	As battle-hardened as he is ancient, the White Dwarf will always stand his ground, no matter the pandemonium unfolding around him.	true
unit_abilities_tooltip_text_wh2_dlc17_hero_abilities_cinderblast_shell	"Stand Back! These are Dawr, but this is only the milluzth attempt!"	true
unit_abilities_tooltip_text_wh2_dlc11_unit_passive_gaseous_demise	Some drowned sailors lurch from the sea swollen with noxious gases, ready to explode upon contact with enemy blades. Keep well back!	true
unit_abilities_tooltip_text_wh_main_unit_passive_unbinding_critical	Summoned creatures exist in this world on borrowed time, disappearing back to the Winds from whence they came.	true
unit_abilities_onscreen_name_wh2_dlc11_spell_bound_tidecall	Tidecall	true
unit_abilities_tooltip_text_wh2_main_spell_dark_magic_soul_stealer	Tendrils of solidified darkness writhe outwards, draining the lifeforce from foes and renewing the caster’s own vigour.	true
unit_abilities_onscreen_name_wh_dlc05_hero_passive_blessing_of_the_ancients	Blessing of the Ancients	true
unit_abilities_onscreen_name_wh2_dlc09_item_passive_lucky_skullhelm	Lucky Skullhelm	true
unit_abilities_tooltip_text_wh_dlc06_lord_passive_wurrzags_revenge	Wurrzag inflicts a cloud of confusion upon his enemies, whose words ring hollow and spells fly false.	true
unit_abilities_onscreen_name_wh_dlc05_character_abilities_prey_of_anath_raema	Prey of Anath Raema	true
unit_abilities_tooltip_text_wh2_dlc15_unit_passive_mimic_forest_walker	For those that know its secrets, the forest can be a highly advantageous place in which to fight.\\n\\n[[col:magic]]This ability is being mirrored using knowledge gained from a prisoner interrogation in Athel Tamarha.[[/col]]	true
unit_abilities_tooltip_text_wh_dlc05_banner_passive_banner_of_the_eternal_queen	Those who go to battle with the Everqueen's personally hand-woven banner do so proudly, and never waver.	true
unit_abilities_tooltip_text_wh_main_item_passive_the_other_tricksters_shard	A shard of blackest night said to be a prison for the partial essence of the Trickster himself. Any close to it may be undone by its troubling aura.	true
unit_abilities_tooltip_text_wh2_dlc15_unit_passive_mimic_scurry_away	"He who runs away lives to fight another day!" – so the foul, craven adage goes.\\n\\n[[col:magic]]This ability is being mirrored using knowledge gained from a prisoner interrogation in Athel Tamarha.[[/col]]	true
unit_abilities_tooltip_text_wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded	At the spellcaster's command, nebulous nature spirits assail the foe, clawing with hands not nearly as insubstantial as they first appear.	true
unit_abilities_onscreen_name_wh2_dlc16_spell_bound_vampires_lesser_raise_dead	Lesser Raise Dead	true
unit_abilities_onscreen_name_wh2_dlc11_lord_abilities_ghoul_king_of_ushoran	Ghoul King of Ushoran	true
unit_abilities_tooltip_text_wh_main_item_abilities_dark_fortune	Asavar Kul, the Butcher of Praag, demanded his Champions sup boiled Daemon blood from the Chalice of Chaos, imbuing them with strength and vigour. 	true
unit_abilities_tooltip_text_wh2_dlc10_quest_abilities_flame_storm	Conjured by a Bright Wizard or Chaos Sorcerer, a column of churning fire erupts from the battlefield, causing much destruction!    	true
unit_abilities_tooltip_text_wh2_main_spell_plague_pestilent_birth	Like a pregnant boil bursting forth, the ground bursts open and pus-coated Plague Monks emerge to do battle at the verminous summoner’s bidding.	true
unit_abilities_tooltip_text_wh_dlc08_item_abilities_arachnarok_eggs	Each egg contains deadly spiderlings, to swarm over and bite the foe's body, injecting deadly venom into the wounds.	true
unit_abilities_onscreen_name_wh_pro04_unit_abilities_soul_devourer	Soul Devourer	true
unit_abilities_onscreen_name_wh_dlc03_item_passive_icon_of_vilification	Icons of Vilification	true
unit_abilities_tooltip_text_wh_main_spell_vampires_vanhels_danse_macabre	Friendly targets are filled with magical energy, making them even more aggressive!	true
unit_abilities_onscreen_name_wh_dlc08_unit_passive_berserk	Berserk	true
unit_abilities_tooltip_text_wh2_dlc10_quest_abilities_warp_hunger	As the Warpstone sparks, man becomes beast, overcome by an insatiable, animalistic hunger.	true
unit_abilities_tooltip_text_wh_main_spell_lil_waaagh_gorkll_fix_it	The Shaman points a bony finger at a nearby enemy, cursing them in the name of Gork.	true
unit_abilities_tooltip_text_wh_dlc03_spell_beasts_panns_impenetrable_pelt	Calling upon the beast-spirits of the wild, the caster sheathes vulnerable flesh in unyielding fur and hide.	true
unit_abilities_tooltip_text_wh_main_weapon_abilities_axe_of_dargo	The Axe of Dargo, a runic weapon of monstrous size, is tempered with dragon's blood and iron-oaths of vengeance. 	true
unit_abilities_onscreen_name_wh_main_spell_death_the_purple_sun_of_xereus	The Purple Sun of Xereus	true
unit_abilities_tooltip_text_wh2_dlc09_unit_passive_unbinding_skeleton_warriors	Summoned creatures exist in this world on borrowed time, disappearing back to the winds from whence they came.	true
unit_abilities_tooltip_text_wh_main_spell_lil_waaagh_vindictive_glare	Green bolts of purest spite burst forth from the Shaman and streak towards the enemy.	true
unit_abilities_tooltip_text_wh2_dlc16_item_abilities_twilight_horn_ii	No purer sound is there than a single note from this great horn, capable of emboldening the faint of heart and rousing the timid.	true
unit_abilities_tooltip_text_wh2_dlc15_hero_abilities_swamp_breath	Troll Hags eat anything that finds its way into their swamps, be it alive, dead, or horribly decomposed. Their putrid breath is certainly testament to that!	true
unit_abilities_tooltip_text_wh_dlc05_spell_life_shield_of_thorns	Prickly gorse bursts from the ground around the caster's allies, protecting them from attack like a spiky, living shield.	true
unit_abilities_onscreen_name_wh2_dlc17_hero_passive_something_wicked_this_way_comes_upgraded	Something Wicked This Way Comes Upgraded	true
unit_abilities_tooltip_text_wh2_main_faction_abilities_murderous_prowess_indicator	Once enough blood has been shed, the Dark Elves’ murderous prowess increases, as if Khaine himself was guiding his disciples' blades!	true
unit_abilities_onscreen_name_wh_dlc05_unit_abilities_woven_mist	Woven Mist	true
unit_abilities_onscreen_name_wh_main_spell_heavens_wind_blast_upgraded	Wind Blast Upgraded	true
unit_abilities_tooltip_text_wh_main_banner_passive_banner_of_rage	The Banner of Rage flutters and growls in the wind. This standard imbues those who walk under it with an anger that can only be sated with enemy deaths!	true
unit_abilities_onscreen_name_wh2_dlc16_item_passive_dragon_mask_iii	Dragon Mask III	true
unit_abilities_onscreen_name_wh2_dlc12_unit_passive_portent_of_warding	Portent of Warding	true
